x,y,timestamp
0.0,0.0,Fri Nov 22 06:15:52 2024
0.0,0.0,Fri Nov 22 06:15:52 2024
0.0,0.0,Fri Nov 22 06:15:52 2024
0.0,0.0,Fri Nov 22 06:15:52 2024
0.0,0.0,Fri Nov 22 06:15:52 2024
0.0,0.0,Fri Nov 22 06:15:52 2024
0.0,0.0,Fri Nov 22 06:15:52 2024
0.0,0.0,Fri Nov 22 06:15:53 2024
0.0,0.0,Fri Nov 22 06:15:53 2024
0.0,0.0,Fri Nov 22 06:15:53 2024
0.0,0.0,Fri Nov 22 06:15:53 2024
0.0,0.0,Fri Nov 22 06:15:53 2024
0.0,0.0,Fri Nov 22 06:15:53 2024
0.0,0.0,Fri Nov 22 06:15:53 2024
0.0,0.0,Fri Nov 22 06:15:53 2024
0.0,0.0,Fri Nov 22 06:15:54 2024
0.0,0.0,Fri Nov 22 06:15:54 2024
0.0,0.0,Fri Nov 22 06:15:54 2024
0.0,0.0,Fri Nov 22 06:15:54 2024
0.0,0.0,Fri Nov 22 06:15:54 2024
0.0,0.0,Fri Nov 22 06:15:54 2024
0.0,0.0,Fri Nov 22 06:15:54 2024
0.0,0.0,Fri Nov 22 06:15:54 2024
0.0,0.0,Fri Nov 22 06:15:54 2024
0.0,0.0,Fri Nov 22 06:15:55 2024
0.0,0.0,Fri Nov 22 06:15:55 2024
0.0,0.0,Fri Nov 22 06:15:55 2024
0.0,0.0,Fri Nov 22 06:15:55 2024
0.0,0.0,Fri Nov 22 06:15:55 2024
0.0,0.0,Fri Nov 22 06:15:55 2024
0.0,0.0,Fri Nov 22 06:15:55 2024
0.0,0.0,Fri Nov 22 06:15:55 2024
0.0,0.0,Fri Nov 22 06:15:55 2024
0.0,0.0,Fri Nov 22 06:15:55 2024
0.0,0.0,Fri Nov 22 06:15:55 2024
0.0,0.0,Fri Nov 22 06:15:55 2024
0.0,0.0,Fri Nov 22 06:15:55 2024
0.0,0.0,Fri Nov 22 06:15:56 2024
0.0,0.0,Fri Nov 22 06:15:56 2024
0.0,0.0,Fri Nov 22 06:15:56 2024
0.0,0.0,Fri Nov 22 06:15:56 2024
0.0,0.0,Fri Nov 22 06:15:56 2024
0.0,0.0,Fri Nov 22 06:15:56 2024
0.0,0.0,Fri Nov 22 06:15:56 2024
0.0,0.0,Fri Nov 22 06:15:56 2024
0.0,0.0,Fri Nov 22 06:15:56 2024
0.0,0.0,Fri Nov 22 06:15:57 2024
0.0,0.0,Fri Nov 22 06:15:57 2024
0.0,0.0,Fri Nov 22 06:15:57 2024
0.0,0.0,Fri Nov 22 06:15:57 2024
0.0,0.0,Fri Nov 22 06:15:57 2024
0.0,0.0,Fri Nov 22 06:15:57 2024
0.0,0.0,Fri Nov 22 06:15:57 2024
0.0,0.0,Fri Nov 22 06:15:57 2024
0.0,0.0,Fri Nov 22 06:15:57 2024
0.0,0.0,Fri Nov 22 06:15:57 2024
0.0,0.0,Fri Nov 22 06:15:57 2024
0.0,0.0,Fri Nov 22 06:15:57 2024
0.0,0.0,Fri Nov 22 06:15:57 2024
0.0,0.0,Fri Nov 22 06:15:57 2024
0.0,0.0,Fri Nov 22 06:15:57 2024
0.0,0.0,Fri Nov 22 06:15:57 2024
0.0,0.0,Fri Nov 22 06:15:57 2024
0.0,0.0,Fri Nov 22 06:15:57 2024
0.0,0.0,Fri Nov 22 06:15:57 2024
0.0,0.0,Fri Nov 22 06:15:57 2024
0.0,0.0,Fri Nov 22 06:15:57 2024
0.0,0.0,Fri Nov 22 06:15:57 2024
0.0,0.0,Fri Nov 22 06:15:58 2024
0.0,0.0,Fri Nov 22 06:15:58 2024
0.0,0.0,Fri Nov 22 06:15:58 2024
0.0,0.0,Fri Nov 22 06:15:58 2024
0.0,0.0,Fri Nov 22 06:15:58 2024
0.0,0.0,Fri Nov 22 06:15:58 2024
0.0,0.0,Fri Nov 22 06:15:58 2024
0.0,0.0,Fri Nov 22 06:15:58 2024
0.0,0.0,Fri Nov 22 06:15:59 2024
0.0,0.0,Fri Nov 22 06:15:59 2024
0.0,0.0,Fri Nov 22 06:15:59 2024
0.0,0.0,Fri Nov 22 06:15:59 2024
0.0,0.0,Fri Nov 22 06:15:59 2024
0.0,0.0,Fri Nov 22 06:15:59 2024
0.0,0.0,Fri Nov 22 06:15:59 2024
0.0,0.0,Fri Nov 22 06:15:59 2024
0.0,0.0,Fri Nov 22 06:15:59 2024
0.0,0.0,Fri Nov 22 06:15:59 2024
0.0,0.0,Fri Nov 22 06:15:59 2024
0.0,0.0,Fri Nov 22 06:15:59 2024
0.0,0.0,Fri Nov 22 06:15:59 2024
0.0,0.0,Fri Nov 22 06:15:59 2024
0.0,0.0,Fri Nov 22 06:16:00 2024
0.0,0.0,Fri Nov 22 06:16:00 2024
0.0,0.0,Fri Nov 22 06:16:00 2024
0.0,0.0,Fri Nov 22 06:16:00 2024
0.0,0.0,Fri Nov 22 06:16:00 2024
0.0,0.0,Fri Nov 22 06:16:00 2024
0.0,0.0,Fri Nov 22 06:16:00 2024
0.0,0.0,Fri Nov 22 06:16:00 2024
